number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration,user_attrs_std_logloss,state
163,0.6596176385725244,2025-12-10 15:48:40.001012,2025-12-10 15:48:42.559163,0 days 00:00:02.558151,0.5693260382376313,0.8392748922425808,0.6684130965483688,1.8656916352017667,0.012813815725222529,7,10,69,3590,1.7748829082944062,0.0022862840660918433,1.0541321086017978,0.7285836724009129,376,0.005409061384939623,COMPLETE
164,0.6592641800403269,2025-12-10 15:48:42.561169,2025-12-10 15:48:45.345319,0 days 00:00:02.784150,0.5206366127571079,0.8105712211642404,0.6927800639478879,2.592549818573484,0.010598777774775648,8,10,74,3649,0.8924370104185936,0.003994107366301444,1.0356042533414929,0.7193481449007926,457,0.005249787081714288,COMPLETE
165,0.6595283570904523,2025-12-10 15:48:45.347262,2025-12-10 15:48:47.784685,0 days 00:00:02.437423,0.5484078150632894,0.8282779663742014,0.6787452703349018,3.1977509886398554,0.012278191234023768,9,10,70,3370,1.0996658188729589,0.00300738176438192,1.017699247600159,0.7422550389295938,407,0.00489692281035004,COMPLETE
166,0.6600869665681756,2025-12-10 15:48:47.786688,2025-12-10 15:48:53.223268,0 days 00:00:05.436580,0.5060899183169699,0.7898765374163487,0.6544583672603567,1.6705351477982298,0.009289777924810585,8,9,64,3457,1.8203557535215549,0.004985562879632912,1.083973041670252,0.7333508027764866,569,0.005532701352741402,COMPLETE
167,0.6586114005385572,2025-12-10 15:48:53.225275,2025-12-10 15:48:57.215657,0 days 00:00:03.990382,0.518675681361326,0.8441394077442161,0.7045741450298227,2.098053737645647,0.01224266121296217,10,10,41,3868,2.9671717794762467,0.0016036580663729319,1.00726578111765,0.7011235568162545,402,0.005967458148925747,COMPLETE
168,0.6588148652358587,2025-12-10 15:48:57.217662,2025-12-10 15:49:00.446216,0 days 00:00:03.228554,0.48157333105163025,0.8485685414138644,0.6931660505784706,2.0495847108862995,0.01005101925637767,10,10,41,3869,1.4669320702176063,0.0012479711457414142,1.00400849163261,0.7035538030844404,398,0.004989537177341528,COMPLETE
169,0.659457004056051,2025-12-10 15:49:00.448245,2025-12-10 15:49:03.265843,0 days 00:00:02.817598,0.48585513221306376,0.846222461104701,0.7221450963351614,1.4829683282959452,0.014021097658462843,10,10,41,3838,2.8601735038028964,0.0022062411960377254,1.0639194757808286,0.6792994360347299,290,0.004639762263160353,COMPLETE
170,0.6593715355737564,2025-12-10 15:49:03.265843,2025-12-10 15:49:06.403006,0 days 00:00:03.137163,0.43301698660442717,0.8300968654475472,0.7071311274201095,2.1080822097207026,0.010291869710838657,10,10,47,3919,1.3267702159228618,0.0016911240556614874,1.006359055781078,0.7029697281942603,410,0.005404127509318774,COMPLETE
171,0.6588827008243497,2025-12-10 15:49:06.405009,2025-12-10 15:49:09.728396,0 days 00:00:03.323387,0.5142780692212348,0.8155437915077707,0.6836969814750498,2.23481680598615,0.012354328296987469,10,10,45,3850,3.642588628172053,0.0011033288341432113,1.0207571832988953,0.7143839870114306,430,0.0051241053470241675,COMPLETE
172,0.6593015467310839,2025-12-10 15:49:09.730405,2025-12-10 15:49:12.831932,0 days 00:00:03.101527,0.5137002508565004,0.8485536914792247,0.6935300209757701,1.9073888598127382,0.012391654844919537,10,10,45,3870,4.571438232152634,0.0012289273195102474,1.0475088679456983,0.6962058656207477,386,0.005370482496046098,COMPLETE
