Date,Actual,Predicted,Model_Prob,Month
2025-01-20,1,1,0.93356,2025-01
2025-01-20,0,0,0.015077251,2025-01
2025-01-20,1,1,0.8473891,2025-01
2025-01-20,0,1,0.8117135,2025-01
2025-01-20,1,1,0.76567775,2025-01
2025-01-20,0,1,0.7253446,2025-01
2025-01-20,1,1,0.82714677,2025-01
2025-01-20,1,0,0.2831795,2025-01
2025-01-21,0,0,0.048029736,2025-01
2025-01-21,0,0,0.39702407,2025-01
2025-01-21,1,1,0.8734124,2025-01
2025-01-21,1,1,0.9975165,2025-01
2025-01-21,1,1,0.9985073,2025-01
2025-01-22,0,1,0.8501033,2025-01
2025-01-22,1,1,0.9746586,2025-01
2025-01-22,1,1,0.9917168,2025-01
2025-01-22,1,1,0.9914779,2025-01
2025-01-22,0,0,0.08413387,2025-01
2025-01-22,0,1,0.85532016,2025-01
2025-01-22,0,0,0.2431894,2025-01
2025-01-22,1,0,0.4993583,2025-01
2025-01-23,1,1,0.98706555,2025-01
2025-01-23,1,1,0.5626018,2025-01
2025-01-23,1,1,0.80158067,2025-01
2025-01-23,0,1,0.85078186,2025-01
2025-01-23,1,1,0.9962196,2025-01
2025-01-23,0,1,0.745865,2025-01
2025-01-23,0,0,0.027461087,2025-01
2025-01-23,0,1,0.84969354,2025-01
2025-01-23,1,1,0.99029595,2025-01
2025-01-24,0,0,0.07967282,2025-01
2025-01-24,1,0,0.042727504,2025-01
2025-01-24,1,1,0.9882361,2025-01
2025-01-25,0,0,0.08158003,2025-01
2025-01-25,1,1,0.994381,2025-01
2025-01-25,0,0,0.06819365,2025-01
2025-01-25,1,1,0.8965694,2025-01
2025-01-25,0,1,0.9319317,2025-01
2025-01-25,0,0,0.33607742,2025-01
2025-01-25,0,0,0.23363207,2025-01
2025-01-25,1,1,0.95145226,2025-01
2025-01-25,1,1,0.99873,2025-01
2025-01-25,0,0,0.0796909,2025-01
2025-01-25,1,1,0.5122486,2025-01
2025-01-25,1,1,0.9923344,2025-01
2025-01-25,1,0,0.030464312,2025-01
2025-01-25,1,1,0.6349273,2025-01
2025-01-26,0,1,0.58288383,2025-01
2025-01-27,0,0,0.26151234,2025-01
2025-01-27,1,1,0.59579134,2025-01
2025-01-27,1,1,0.99563736,2025-01
2025-01-27,1,1,0.7719392,2025-01
2025-01-27,1,0,0.22504355,2025-01
2025-01-27,1,1,0.9901569,2025-01
2025-01-27,0,0,0.0058324826,2025-01
2025-01-27,1,1,0.9198013,2025-01
2025-01-27,0,0,0.03879076,2025-01
2025-01-27,0,1,0.8133164,2025-01
2025-01-27,1,1,0.9851296,2025-01
2025-01-27,1,1,0.75918454,2025-01
2025-01-28,0,0,0.28535378,2025-01
2025-01-28,1,0,0.26953495,2025-01
2025-01-28,1,1,0.83622,2025-01
2025-01-28,1,1,0.8765857,2025-01
2025-01-29,0,1,0.5709961,2025-01
2025-01-29,1,0,0.16502191,2025-01
2025-01-29,0,0,0.10307738,2025-01
2025-01-29,0,0,0.073399335,2025-01
2025-01-29,1,1,0.86691654,2025-01
2025-01-29,0,0,0.03928903,2025-01
2025-01-29,1,1,0.7690961,2025-01
2025-01-29,0,0,0.01238739,2025-01
2025-01-29,1,1,0.98069924,2025-01
2025-01-29,0,0,0.1854572,2025-01
2025-01-29,1,1,0.8770486,2025-01
2025-01-30,0,0,0.0068173753,2025-01
2025-01-30,1,1,0.9851996,2025-01
2025-01-30,1,0,0.25469694,2025-01
2025-01-30,0,0,0.00424545,2025-01
2025-01-30,1,1,0.9900866,2025-01
2025-01-31,1,0,0.19427048,2025-01
2025-01-31,0,0,0.31461227,2025-01
2025-01-31,0,0,0.23611665,2025-01
2025-01-31,0,0,0.013333438,2025-01
2025-01-31,0,0,0.33073598,2025-01
2025-01-31,1,1,0.9423879,2025-01
2025-01-31,0,1,0.58559054,2025-01
2025-02-01,1,1,0.9801553,2025-02
2025-02-01,0,0,0.43337923,2025-02
2025-02-01,0,1,0.50432545,2025-02
2025-02-01,1,1,0.9944956,2025-02
2025-02-01,1,1,0.5133595,2025-02
2025-02-01,0,0,0.061469804,2025-02
2025-02-01,0,0,0.37100178,2025-02
2025-02-01,1,1,0.76166654,2025-02
2025-02-01,0,1,0.99676645,2025-02
2025-02-02,0,0,0.46132436,2025-02
2025-02-02,1,0,0.3855232,2025-02
2025-02-02,1,1,0.99757546,2025-02
2025-02-02,1,0,0.44916657,2025-02
2025-02-02,0,0,0.15704457,2025-02
2025-02-03,1,1,0.92931515,2025-02
2025-02-03,0,0,0.011279174,2025-02
2025-02-03,1,1,0.99542457,2025-02
2025-02-03,1,1,0.98487514,2025-02
2025-02-03,1,1,0.9923928,2025-02
2025-02-03,0,1,0.96736956,2025-02
